tmvcodigo;tmvdescricao;tmvatualiza
14764;"I/DAYUN JK 150 ZH";"N"
14765;"I/DODGE CARAVAN SE";"N"
14766;"I/DODGE CHALLENGER HARDT";"N"
14767;"I/DODGE CHALLENGER RT";"N"
14768;"I/DODGE CHARGER 500";"N"
14769;"I/DODGE CHARGER COUPE";"N"
14770;"I/DODGE CHARGER RT";"N"
14771;"I/DODGE CHARGER RT";"N"
14772;"I/DODGE CHARGER RT 5.7";"N"
14773;"I/DODGE CHARGER SRT8";"N"
14774;"I/DODGE MAGNUM SRT-8";"N"
14775;"I/DODGE NITRO RT";"N"
14776;"I/DODGE NITRO RT AT 4X4";"N"
14777;"I/DODGE RAM TRV TROPVAN";"N"
14778;"I/DUCATI 1000 SS";"N"
14779;"I/DUCATI 1098";"N"
14780;"I/DUCATI 1098S";"N"
14781;"I/DUCATI 999 R XEROX";"N"
14782;"I/DUCATI HYPERMONTAR1100S";"N"
14783;"I/DUCATI HYPERMOTARD1100";"N"
14784;"I/DUCATI MONSTER 695";"N"
14785;"I/DUCATI MONSTER S2R1000";"N"
14786;"I/DUCATI MONSTER S4RS";"N"
14787;"I/DUCATI MULTIST 1100";"N"
14788;"I/DUCATI MULTISTRADA 620";"N"
14789;"I/DUCATI MULTSTD 1000DS";"N"
14790;"I/DUCATI MULTSTRADA1100";"N"
14791;"I/DUCATI SPORTC PS1000LE";"N"
14792;"I/DUCATI SPORTCL GT 1000";"N"
14793;"I/DUCATI SPORTCL S1000BI";"N"
14794;"I/DUCATI SPORTCLASS 1000";"N"
14795;"I/EAGLE";"N"
14796;"I/EAGLE YY250T";"N"
14797;"I/FERRARI 308GTB COUPE";"N"
14798;"I/FERRARI 512BB BOXER";"N"
14799;"I/FERRARI 599 GTB";"N"
14800;"I/FIAT";"N"
14801;"I/FIAT 110 F BERLINA 500";"N"
14802;"I/FIAT 110F BELINA 500L";"N"
14803;"I/FIAT 370  1225";"N"
14804;"I/FIAT 370 12 35";"N"
14805;"I/FIAT 600R";"N"
14806;"I/FIAT 850 SPORT SPIDER";"N"
14807;"I/FIAT CROMA HLX 2.2 AUT";"N"
14808;"I/FIAT DUNA SDR 1.7SEDAN";"N"
14809;"I/FIAT MAREA WEEK ELX";"N"
14810;"I/FIAT NUOVA 500D";"N"
14811;"I/FIAT PALIO WEEKEND 1.4";"N"
14812;"I/FIAT PANDA";"N"
14813;"I/FIAT STILO 1.8 DINAMIC";"N"
14814;"I/FORD";"N"
14815;"I/FORD COE TRUCK";"N"
14816;"I/FORD EDGE SEL";"N"
14817;"I/FORD EXPEDITION EL";"N"
14818;"I/FORD EXPLORER 4X4 4WD";"N"
14819;"I/FORD EXPLORER XL S 4X4";"N"
14820;"I/FORD EXPLORER XLT V8";"N"
14821;"I/FORD F150";"N"
14822;"I/FORD F150 HARLEY";"N"
14823;"I/FORD F150 HARLEY";"N"
14824;"I/FORD F150 KING RANCH";"N"
14825;"I/FORD F650";"N"
14826;"I/FORD FOCUS 1.6 FLEX FC";"N"
14827;"I/FORD FOCUS 1.6 FLEX HA";"N"
14828;"I/FORD GALAXI 2.3";"N"
14829;"I/FORD GALAXI 500XL CONV";"N"
14830;"I/FORD GT";"N"
14831;"I/FORD MERCURY MONTEREY";"N"
14832;"I/FORD MERCURY TRACER";"N"
14833;"I/FORD MUSTANG CONV.";"N"
14834;"I/FORD MUSTANG CONVERS";"N"
14835;"I/FORD MUSTANG FASTBACK";"N"
14836;"I/FORD MUSTANG GT CONV";"N"
14837;"I/FORD MUSTANG GT CONV";"N"
14838;"I/FORD MUSTANG HARDTOP";"N"
14839;"I/FORD MUSTANG MACH I";"N"
14840;"I/FORD MUSTANG SEDAN 2PO";"N"
14841;"I/FORD MUSTANG SHELBY GT";"N"
14842;"I/FORD MUSTANG V6 CONV";"N"
14843;"I/FORD MUSTANG V6PREMIUM";"N"
14844;"I/FORD PHAETON A";"N"
14845;"I/FORD RANCHERO";"N"
14846;"I/FORD RANCHERO 500";"N"
14847;"I/FORD RANCHERO GT";"N"
14848;"I/FORD RANGER SPLASH";"N"
14849;"I/FORD STATION WAGON";"N"
14850;"I/FORD T";"N"
14851;"I/FORD T SEDAN";"N"
14852;"I/FORD THUNDERBIRD ROADS";"N"
14853;"I/FORD THUNDERBIRD2DOORS";"N"
14854;"I/FUXING";"N"
14855;"I/FUXING HAOBAO HB 110-3";"N"
14856;"I/FUXING HAOBAO HB 150T";"N"
14857;"I/FYM FY100 10A";"N"
14858;"I/FYM FY125 19";"N"
14859;"I/FYM FY125 20";"N"
14860;"I/FYM FY125T 15";"N"
14861;"I/FYM FY125T 18";"N"
14862;"I/FYM FY125Y 3";"N"
14863;"I/FYM FY150 3";"N"
14864;"I/FYM FY150T 18";"N"
14865;"I/FYM FY250";"N"
14866;"I/FYM FY50 QT";"N"
14867;"I/GILERA NEXUS 500";"N"
14868;"I/GM CADILLAC 4DOORS 62S";"N"
14869;"I/GM CADILLAC 6217 SEDAN";"N"
14870;"I/GM COLORADO REG CAB";"N"
14871;"I/GM CORSA CLASSIC 3P";"N"
14872;"I/GM CORSA CLASSIC CITY";"N"
14873;"I/GM CORSA CLASSIC SEDAN";"N"
14874;"I/GM CORSA CLASSIC SW";"N"
14875;"I/GM CORSA CLASSIC VIAJE";"N"
14876;"I/GM HUMMER";"N"
14877;"I/GM OMEGA SS";"N"
14878;"I/GM SILVERADO K1500";"N"
14879;"I/GM SUBURBAN 1500";"N"
14880;"I/GM SUBURBAN C1500";"N"
14881;"I/GM SUBURBAN LS";"N"
14882;"I/GM SUBURBAN LT";"N"
14883;"I/GM SUBURBAN LTZ";"N"
14884;"I/GMC ACADIA";"N"
14885;"I/GMC ACADIA SLT";"N"
14886;"I/GMC HUMMER H2";"N"
14887;"I/GMC HUMMER H3";"N"
14888;"I/GMC HUMMER H3X";"N"
14889;"I/GREAT WALL HOVER";"N"
14890;"I/GREAT WALL HOVER CUV";"N"
14891;"I/GREAT WALL PEGASUS";"N"
14892;"I/GUANGZHOU";"N"
14893;"I/GUANGZHOU";"N"
14894;"I/GUANGZHOU FMM110 2EEC";"N"
14895;"I/GUANGZHOU FMM125T 26A";"N"
14896;"I/GUANGZHOU FMM125T 28";"N"
14897;"I/GUANGZHOU FONTAF125T10";"N"
14898;"I/GUANGZHOU FONTAFTT125T3";"N"
14899;"I/GUOWEI";"N"
14900;"I/GUOWEI OMOTO HT150 R";"N"
14901;"I/GUOWEI OMOTO HTR150";"N"
14902;"I/H.DAVIDSON FLHP";"N"
14903;"I/H.DAVIDSON FLHRSE3";"N"
14904;"I/H.DAVIDSON FLHRSE4";"N"
14905;"I/H.DAVIDSON FLHTCUSE";"N"
14906;"I/H.DAVIDSON FLHTCUSE2";"N"
14907;"I/H.DAVIDSON FLHTCUSE3";"N"
14908;"I/H.DAVIDSON FXD";"N"
14909;"I/H.DAVIDSON FXDC";"N"
14910;"I/H.DAVIDSON FXST";"N"
14911;"I/H.DAVIDSON FXSTSSE";"N"
14912;"I/H.DAVIDSON FXSTSSE2";"N"
14913;"I/H.DAVIDSON VRSCAW";"N"
14914;"I/H.DAVIDSON VRSCAWA";"N"
14915;"I/H.DAVIDSON VRSCD";"N"
14916;"I/H.DAVIDSON VRSCDX";"N"
14917;"I/H.DAVIDSON VRSCX";"N"
14918;"I/H.DAVIDSON XL883C";"N"
14919;"I/H.DAVIDSON XL883L";"N"
14920;"I/H.DAVIDSON XL883R";"N"
14921;"I/HAFEI";"N"
14922;"I/HAFEI HFJ1020";"N"
14923;"I/HAFEI HFJ6370";"N"
14924;"I/HAFEI RUIYI PICKUP";"N"
14925;"I/HAFEI ZHONGYI FURGAO";"N"
14926;"I/HAFEI ZHONGYI VAN";"N"
14927;"I/HAOJIN";"N"
14928;"I/HAOJIN HJ100T A";"N"
14929;"I/HAOJIN HJ110 8";"N"
14930;"I/HAOJIN HJ125 7B";"N"
14931;"I/HAOJIN HJ125 9";"N"
14932;"I/HEBEI";"N"
14933;"I/HEBEI ZHONG GRANDT 4X2";"N"
14934;"I/HEBEI ZHONG LANDM 4X2";"N"
14935;"I/HEBEI ZHONG LANDM 4X4";"N"
14936;"I/HILLMAN MARK VII";"N"
14937;"I/HONDA ACCORD EX V6";"N"
14938;"I/HONDA CB 400";"N"
14939;"I/HONDA CB1300F";"N"
14940;"I/HONDA CBR 600 F4";"N"
14941;"I/HONDA CBR1000RR REPSOL";"N"
14942;"I/HONDA CIVIC GX NGV";"N"
14943;"I/HONDA CR-V 2.1I-VTCE";"N"
14944;"I/HONDA CR-V EX";"N"
14945;"I/HONDA CR-V EXL";"N"
14946;"I/HONDA CR-V LX";"N"
14947;"I/HONDA CR-V RVI";"N"
14948;"I/HONDA ELEMENT 4WD";"N"
14949;"I/HONDA GL1800 GOLD WING";"N"
14950;"I/HONDA GOLDWING 1200";"N"
14951;"I/HONDA MAGNA VF 750";"N"
14952;"I/HONDA ODYSSEY";"N"
14953;"I/HONDA ODYSSEY EX";"N"
14954;"I/HONDA ODYSSEY EX-L";"N"
14955;"I/HONDA PAN-EUROPEAN";"N"
14956;"I/HONDA PILOT EXL";"N"
14957;"I/HONDA SILVER WING";"N"
14958;"I/HONDA ST 1300";"N"
14959;"I/HONDA XL650V TRANSALP";"N"
14960;"I/HP GALLOPER II";"N"
14961;"I/HUMMER MRE CGPI";"N"
14962;"I/HUMPMOBILE TOURING CAR";"N"
14963;"I/HUSQVARNA SM 450 RR";"N"
14964;"I/HYOSUNG AQUILA GV650";"N"
14965;"I/HYOSUNG COMET GT 250R";"N"
14966;"I/HYOSUNG COMET GT650OR";"N"
14967;"I/HYOSUNG COMET GT650R";"N"
14968;"I/HYUNDAI ACCENT GLS 1.4";"N"
14969;"I/HYUNDAI ACCENT GLS 1.6";"N"
14970;"I/HYUNDAI AZERA 3.3 V6";"N"
14971;"I/HYUNDAI CENTENIAL45TOP";"N"
14972;"I/HYUNDAI ELANTRA HD";"N"
14973;"I/HYUNDAI GETZ GLS 1.6";"N"
14974;"I/HYUNDAI H1STAREX SVX12";"N"
14975;"I/HYUNDAI HD 65";"N"
14976;"I/HYUNDAI HR GL";"N"
14977;"I/HYUNDAI MATRIX GLS 1.6";"N"
14978;"I/HYUNDAI SANTA FE V6";"N"
14979;"I/HYUNDAI TUCSON GLS 20L";"N"
14980;"I/HYUNDAI VERACRUZ 3.8V6";"N"
14981;"I/HYUNDAI VERACRUZ GLSV6";"N"
14982;"I/INFINITI FX 35 RWD";"N"
14983;"I/INTERNATIONAL COF9670";"N"
14984;"I/ISUZU ELF 4BE1";"N"
14985;"I/ISUZU FORWARD 6BG1";"N"
14986;"I/ISUZU FORWARD III 6BF1";"N"
14987;"I/IVECO ECURSOR 450E31T";"N"
14988;"I/IVECO MASCA GRANVIA O";"N"
14989;"I/IVECO MPOLO SENIOR GVO";"N"
14990;"I/IVECO MPOLO VIALE U";"N"
14991;"I/IVECO STRALIHD 570S38T";"N"
14992;"I/IVECODAILYNNPR 50C13V";"N"
14993;"I/IVECOECTECTOR 230E24";"N"
14994;"I/IVECOSTRALHD 570";"N"
14995;"I/IVECOSTRALIHD 740S42TZ";"N"
14996;"I/IVECOSTRALISHD 450S38T";"N"
14997;"I/IVECOSTRALISHD 490S38T";"N"
14998;"I/IVECOSTRALISHD 490S42T";"N"
14999;"I/IVECOTRAKKER 380T38";"N"
15000;"I/IVECOTRAKKER 720T42T";"N"
15001;"I/JAGUAR E-TYPE COUPE";"N"
15002;"I/JAGUAR S-TYPE V6 SPORT";"N"
15003;"I/JAGUAR S-TYPE V8 SPORT";"N"
15004;"I/JAGUAR XJ6 4.2";"N"
15005;"I/JAGUAR XJ6 COUPE";"N"
15006;"I/JAGUAR XJ8 4.2";"N"
15007;"I/JAGUAR XK 120 DHC";"N"
15008;"I/JAGUAR XK CONVERSIVEL";"N"
15009;"I/JAGUAR XK COUPE";"N"
15010;"I/JAGUAR XKE COUPE";"N"
15011;"I/JAGUAR XKE COUPE 22";"N"
15012;"I/JAQUAR S-TYPE 3.8";"N"
15013;"I/JEEP CHEROKEE 2.4SPORT";"N"
15014;"I/JEEP COMMANDER LIMITED";"N"
15015;"I/JEEP COMMANDER LTD 5.7";"N"
15016;"I/JEEP GCHEROKEE LARED";"N"
15017;"I/JEEP GCHEROKEE OVL 5.7";"N"
15018;"I/JEEP GCHEROKEE SRT8";"N"
15019;"I/JEEP PATRIOT LIMITED";"N"
15020;"I/JEEP PATRIOT SPORT";"N"
15021;"I/JEEP WEANGLER 2.8L TD";"N"
15022;"I/JEEP WILLYS";"N"
15023;"I/JEEP WRANGLER 3.8L";"N"
15024;"I/JEEP WRANGLER UNLIM X";"N"
15025;"I/JIANGSU";"N"
15026;"I/JIANGSU DM 1000 W P09";"N"
15027;"I/JIANGSU DM 500 W GY";"N"
15028;"I/JIANGSU DM 500 W P10";"N"
15029;"I/JIANGSU DM 500 W XGW";"N"
15030;"I/JIANGSU DM 800 W XSG";"N"
15031;"I/JIANGSU WINER STREET";"N"
15032;"I/JIAPENG VOLCANO JP1104";"N"
15033;"I/JIAPENG VOLCANO JP150B";"N"
15034;"I/JIMBEI";"N"
15035;"I/JIMBEI";"N"
15036;"I/JIMBEI HAISE SY5031XXY";"N"
15037;"I/JIMBEI HAISE SY6480 AD";"N"
15038;"I/JIMBEI HAISE SY6480A1C";"N"
15039;"I/JINCHENG JC90";"N"
15040;"I/JMSTAR JS150T 19";"N"
15041;"I/JONWAY";"N"
15042;"I/JONWAY JONNY ATLAN 150";"N"
15043;"I/JONWAY NEW ADV 150CC";"N"
15044;"I/JONWAY NEW RALLY 150CC";"N"
15045;"I/JONWAY RALLY 150CC";"N"
15046;"I/JONWAY YY150 T2";"N"
15047;"I/JONWAY YY150T 4A";"N"
15048;"I/JONWAY YY50 QT6";"N"
15049;"I/JUNCHENG JC 125-2A";"N"
15050;"I/KAHENA";"N"
15051;"I/KAHENA 125 K TOP";"N"
15052;"I/KAHENA 125 TOP";"N"
15053;"I/KAISER CJ 3B";"N"
15054;"I/KAWASAKI CLASSIC 1500";"N"
15055;"I/KAWASAKI DRIFTER";"N"
15056;"I/KAWASAKI KLR 650";"N"
15057;"I/KAWASAKI NINJA 650 R";"N"
15058;"I/KAWASAKI NINJA ZX 14";"N"
15059;"I/KAWASAKI NINJA ZX 6R";"N"
15060;"I/KAWASAKI VN 900";"N"
15061;"I/KAWASAKI Z 750";"N"
15062;"I/KAWASAKI Z1000";"N"
15063;"I/KAWASAKI ZG1400";"N"
15064;"I/KAWASAKI ZX 14";"N"
15065;"I/KAWASAKI ZZR 1400";"N"
15066;"I/KIA BESTA 12P GS";"N"
15067;"I/KIA CARENS EX 2.0L";"N"
15068;"I/KIA CARNIVAL VAN";"N"
15069;"I/KIA CERATO EX 1.6N1";"N"
15070;"I/KIA CERATO EX 1.6N3";"N"
15071;"I/KIA CERATO EX 2.0N1";"N"
15072;"I/KIA CERATO GLS 1.6N1";"N"
15073;"I/KIA G CARNIVAL EX 3.8";"N"
15074;"I/KIA K2500 HD";"N"
15075;"I/KIA K2500 LD";"N"
15076;"I/KIA K2700 II HD BA";"N"
15077;"I/KIA K2700 II LD UB";"N"
15078;"I/KIA MAGENTIS EX 2.0";"N"
15079;"I/KIA MAGENTIS EX 2.7";"N"
15080;"I/KIA MAGENTIS LX 2.0";"N"
15081;"I/KIA OPIRUS GL 3.8L";"N"
15082;"I/KIA PICANTO EX 1.0L";"N"
15083;"I/KIA PICANTO EX 1.1L";"N"
15084;"I/KIA SORENTO EX 3.8L V6";"N"
15085;"I/KIA SPORTAGE EX 2.0 D1";"N"
15086;"I/KTM 690 SUPERMOTO";"N"
15087;"I/KTM 950 SUPER ENDURO R";"N"
15088;"I/KTM 990 ADVENTURE LC8";"N"
15089;"I/KTM 990 ADVENTURE LC8";"N"
15090;"I/KTM 990 SUPER DUKE";"N"
15091;"I/L.ROVER DEFENDER 110";"N"
15092;"I/L.ROVER DEFENDER 110";"N"
15093;"I/LAMBORGHINI ESPADA C";"N"
15094;"I/LAMBORGHINI MIURA COUP";"N"
15095;"I/LAMBORGHINI MURCIELAGO";"N"
15096;"I/LAND ROVER RANGE ROV S";"N"
15097;"I/LANDUN";"N"
15098;"I/LANDUN LD 150ZH";"N"
15099;"I/LANDUN LD 150ZH";"N"
15100;"I/LEXUS ES350";"N"
15101;"I/LEXUS GS 300";"N"
15102;"I/LEXUS GS 450H";"N"
15103;"I/LEXUS GX470";"N"
15104;"I/LEXUS IS 350";"N"
15105;"I/LEXUS LS 430";"N"
15106;"I/LEXUS LS460";"N"
15107;"I/LEXUS LX 470";"N"
15108;"I/LEXUS RX 350";"N"
15109;"I/LEXUS RX 350";"N"
15110;"I/LEXUS RX 400H AWD";"N"
15111;"I/LEXUS RX350 AWD";"N"
15112;"I/LEYLAND MINI 1000";"N"
15113;"I/LIFAN KASINSKI LF125-5";"N"
15114;"I/LIFAN LF100 2";"N"
15115;"I/LIFAN LF110 11H";"N"
15116;"I/LIFAN LF110 2G";"N"
15117;"I/LIFAN LF125 26F";"N"
15118;"I/LIFAN LF125 5";"N"
15119;"I/LIFAN LF125 8F";"N"
15120;"I/LIFAN LF125 J";"N"
15121;"I/LIFAN LF125 ST6";"N"
15122;"I/LIFAN LF125 T6";"N"
15123;"I/LIFAN LF150 9J";"N"
15124;"I/LIFAN LF150 T5";"N"
15125;"I/LIFAN LF150 T6";"N"
15126;"I/LIFAN LF200 III";"N"
15127;"I/LIFAN LF200GY 5";"N"
15128;"I/LIFAN LF200GY 6";"N"
15129;"I/LIFAN LF250";"N"
15130;"I/LIFAN MEGA LF110 2G";"N"
15131;"I/LIFAN MEGA LF150 13";"N"
15132;"I/LINCOLN CONT MARK III";"N"
15133;"I/LINCOLN CONT TOW CAR";"N"
15134;"I/LINCOLN COUPE";"N"
15135;"I/LINCOLN MARK IV";"N"
15136;"I/LINCOLN MARK LT";"N"
15137;"I/LINGTIAN LB 125T-21";"N"
15138;"I/LINGTIAN LB 150T-13";"N"
15139;"I/LINGTIAN LB 150T-15";"N"
15140;"I/LINGTIAN LB 150T-9";"N"
15141;"I/LINGTIAN LB 250T";"N"
15142;"I/LINGYUN";"N"
15143;"I/LINGYUN LY150T 5";"N"
15144;"I/LINGYUN LY150T 6A";"N"
15145;"I/LINGYUN LY150T 7A";"N"
15146;"I/LONCIN LX 150T 2I";"N"
15147;"I/LONCIN LX 250 GY";"N"
15148;"I/LONCIN LX 90";"N"
15149;"I/LONCIN LX200 7";"N"
15150;"I/LR DEFENDER 110 2.4";"N"
15151;"I/LR DEFENDER 110 TD5";"N"
15152;"I/LR DEFENDER 110 TDI";"N"
15153;"I/LR DEFENDER 110S 2.4";"N"
15154;"I/LR DEFENDER 110ST 2.4";"N"
15155;"I/LR DEFENDER 130 HCPU";"N"
15156;"I/LR DEFENDER 130CC 2.4";"N"
15157;"I/LR DEFENDER 130HCPU2.4";"N"
15158;"I/LR DEFENDER 90 2.4";"N"
15159;"I/LR DEFENDER 90 TD5";"N"
15160;"I/LR DEFENDER 90S 2.4";"N"
15161;"I/LR DEFENDER 90ST 2.4";"N"
15162;"I/LR DISCOVERY3 TDV6 SE.";"N"
15163;"I/LR FREELANDER 2 HSE I6";"N"
15164;"I/LR FREELANDER 2 S I6";"N"
15165;"I/LR FREELANDER 2 SE I6";"N"
15166;"I/LR R.ROVER SPORT TDV8";"N"
15167;"I/LR R.ROVER TDV8 VOGUE";"N"
15168;"I/LR R.ROVER V8 SC VOGUE";"N"
15169;"I/LUOJIA";"N"
15170;"I/LUOJIA LJ110 10";"N"
15171;"I/LUOJIA LJ125 MIZA EASY";"N"
15172;"I/LUOJIA LJ125-6";"N"
15173;"I/LUOJIA LJ125-6 MIZAPOP";"N"
15174;"I/LUOJIA LJ150-2MI ZAFAST";"N"
15175;"I/LUOJIA LJ150-7MIZADRAG";"N"
15176;"I/LUOJIA LJ150T-7 MIZA";"N"
15177;"I/M.BENZ 170 S";"N"
15178;"I/M.BENZ 300 D";"N"
15179;"I/M.BENZ 300 S CABRIOLET";"N"
15180;"I/M.BENZ 313 MARTICAR 16";"N"
15181;"I/M.BENZ 313CDI DELTA A";"N"
15182;"I/M.BENZ 313SPRI JAEDI A";"N"
15183;"I/M.BENZ 380 SEL";"N"
15184;"I/M.BENZ 450 SEL";"N"
15185;"I/M.BENZ 600 SWB";"N"
15186;"I/M.BENZ A 170";"N"
15187;"I/M.BENZ A 200 T";"N"
15188;"I/M.BENZ ACTOS 4140K 8X4";"N"
15189;"I/M.BENZ ACTOS 4150K 8X4";"N"
15190;"I/M.BENZ ACTROS 4144 K";"N"
15191;"I/M.BENZ B 200 T";"N"
15192;"I/M.BENZ C 200 K";"N"
15193;"I/M.BENZ C 230 COUPE";"N"
15194;"I/M.BENZ C 280";"N"
15195;"I/M.BENZ C 350 COUPE";"N"
15196;"I/M.BENZ C180 ELEGANCE";"N"
15197;"I/M.BENZ C250 DT";"N"
15198;"I/M.BENZ CAMINHAO";"N"
15199;"I/M.BENZ CDI GCASA AMB1";"N"
15200;"I/M.BENZ CDI SPR TCA AMB";"N"
15201;"I/M.BENZ CDI SPR TCA MIC";"N"
15202;"I/M.BENZ CDI SPR THB MIS";"N"
15203;"I/M.BENZ CDI SPRT THB UM";"N"
15204;"I/M.BENZ CL 63 AMG";"N"
15205;"I/M.BENZ CLK 550";"N"
15206;"I/M.BENZ CLK230K";"N"
15207;"I/M.BENZ CLS 550";"N"
15208;"I/M.BENZ CLS 63 AMG";"N"
15209;"I/M.BENZ COUPE ROADSTER";"N"
15210;"I/M.BENZ E 280 T";"N"
15211;"I/M.BENZ E 63 AMG";"N"
15212;"I/M.BENZ E 63 AMG T";"N"
15213;"I/M.BENZ E220";"N"
15214;"I/M.BENZ E280";"N"
15215;"I/M.BENZ E550";"N"
15216;"I/M.BENZ GL 500";"N"
15217;"I/M.BENZ GREENCAR AMB 08";"N"
15218;"I/M.BENZ GREENCAR MC MO1";"N"
15219;"I/M.BENZ GUERRA MIC 16";"N"
15220;"I/M.BENZ GUERRA MIC 20";"N"
15221;"I/M.BENZ LAK 913 B";"N"
15222;"I/M.BENZ LIMOUSINE C 180";"N"
15223;"I/M.BENZ ML 63 AMG";"N"
15224;"I/M.BENZ ML320 CDI SUV";"N"
15225;"I/M.BENZ NIKS AMBULANCIA";"N"
15226;"I/M.BENZ NIKS MIC 20";"N"
15227;"I/M.BENZ R 350";"N"
15228;"I/M.BENZ R 500";"N"
15229;"I/M.BENZ R 63 AMG";"N"
15230;"I/M.BENZ REVESCAP A UTI";"N"
15231;"I/M.BENZ REVESCAP AMB SR";"N"
15232;"I/M.BENZ RIBEIRAUTO AMB";"N"
15233;"I/M.BENZ S 63 AMG";"N"
15234;"I/M.BENZ S550V";"N"
15235;"I/M.BENZ SL 230";"N"
15236;"I/M.BENZ SL 55 AMG";"N"
15237;"I/M.BENZ SLK 55 AMG";"N"
15238;"I/M.BENZ SLR MCLAREN";"N"
15239;"I/M.BENZ SPR SITNEI MIC";"N"
15240;"I/M.BENZ SPRINT JAEDI MI";"N"
15241;"I/M.BENZ SPRT ALTECH AMB";"N"
15242;"I/M.BENZ SPRT PFISTER AM";"N"
15243;"I/M.BENZ SPRT SITNEI LU";"N"
15244;"I/M.BENZ SPRT SITNEI MAX";"N"
15245;"I/M.BENZ SPRT SITNEI MED";"N"
15246;"I/M.BENZ SPTR MODIFICAR";"N"
15247;"I/M.BENZ SPTR TECFORM TD";"N"
15248;"I/M.BENZ SPTR TECFORM TP";"N"
15249;"I/M.BENZ TRANSFORM AMB";"N"
15250;"I/M.BENZ U 300";"N"
15251;"I/M.BENZ U 3000 CD";"N"
15252;"I/M.BENZ U 400";"N"
15253;"I/M.BENZ U 4000";"N"
15254;"I/M.BENZ U 4000 CD";"N"
15255;"I/M.BENZ U 5000";"N"
15256;"I/M.BENZ U 5000 CD";"N"
15257;"I/M.BENZ UNIMOG 404S";"N"
15258;"I/M.BENZ UNIMOG 416";"N"
15259;"I/M.BENZ313CDI GRIFVAN M";"N"
15260;"I/M.BENZ313CDI MARIMAR A";"N"
15261;"I/M.BENZ313CDI S ANCAR A";"N"
15262;"I/M.BENZ313SPR UNIVIDA A";"N"
15263;"I/M.BENZ413CDI CIRILO A5";"N"
15264;"I/M.BENZ413CDI GRIFVAN M";"N"
15265;"I/M.BENZ413CDI GRIFVAN O";"N"
15266;"I/MAHINDRA DC 4WD";"N"
15267;"I/MAHINDRA SC 4WD";"N"
15268;"I/MAHINDRA SCORPIOSUV4WD";"N"
15269;"I/MALAGUTI CIAK MAST 200";"N"
15270;"I/MALAGUTI F15 FIREFXSBK";"N"
15271;"I/MALAGUTI PASSWORD 250";"N"
15272;"I/MALAGUTI PH MAX 250";"N"
15273;"I/MALAGUTI SP MAX GT500";"N"
15274;"I/MASERATI 3200 GT";"N"
15275;"I/MASERATI 3200 GTA";"N"
15276;"I/MASERATI 3500 GT COUPE";"N"
15277;"I/MASERATI BORA COUPE";"N"
15278;"I/MASERATI GHIBLI COUPE";"N"
15279;"I/MASERATI GRAN TURISMO";"N"
15280;"I/MASERATI KHAMSIN COUPE";"N"
15281;"I/MASERATI QUATTOPORTE S";"N"
15282;"I/MASERATI QUATTRO EVOLU";"N"
15283;"I/MASERATI SEBRING COUPE";"N"
15284;"I/MAZDA 626 ES";"N"
15285;"I/MAZDA CX9 AWD";"N"
15286;"I/MAZDA CX9 GRANDTOURING";"N"
15287;"I/MAZDA MX-5 MIATA";"N"
15288;"I/MERCEDES C240 HA26W";"N"
15289;"I/MERCEDES C280 HA29W";"N"
15290;"I/MERCEDES E240 JF61G";"N"
15291;"I/MERCURY COMET SEDAN";"N"
15292;"I/MERCURY COUGAR SEDAN2P";"N"
15293;"I/MERCURY GRAND MARQUIS";"N"
15294;"I/MERCURY GRAND MARQUIS";"N"
15295;"I/MERCURY MONTEREY HARD";"N"
15296;"I/MG BF CONVERSIVEL";"N"
15297;"I/MG MGA ROADSTER";"N"
15298;"I/MGA 1600 ROADSTER";"N"
15299;"I/MMC ECLIPSE GT 3.8 V6";"N"
15300;"I/MMC ECLIPSE S GS";"N"
15301;"I/MMC ECLIPSE SE";"N"
15302;"I/MMC LANCER EVO IX";"N"
15303;"I/MMC LANCER GTS";"N"
15304;"I/MMC MONTERO SPORT GLS";"N"
15305;"I/MMC MONTERO SPORT LIM";"N"
15306;"I/MMC OUTLANDER 3.0 V6";"N"
15307;"I/MMC PAJERO 2.8 GL 4X4";"N"
15308;"I/MMC PAJERO FULL";"N"
15309;"I/MMC PAJERO GLS 3.2 D";"N"
15310;"I/MMC PAJERO NATIVA GLS";"N"
15311;"I/MO CHANGJIANG";"N"
15312;"I/MO CHANGJIANG LT1055";"N"
15313;"I/MO CHANGJIANG LT1070";"N"
15314;"I/MO CHANGJIANG LT1130";"N"
15315;"I/MO DEMAG AC 250 1";"N"
15316;"I/MO DEMAG AC200";"N"
15317;"I/MO DEMAG AC250";"N"
15318;"I/MO GROVE GMK 4100";"N"
15319;"I/MO GROVE GMK 5130 1";"N"
15320;"I/MO GROVE GMK 5220";"N"
15321;"I/MO GROVE GMK 5240";"N"
15322;"I/MO GROVE GMK 6300";"N"
15323;"I/MO GROVE GMK 7450";"N"
15324;"I/MO INTERNATIONAL DT466";"N"
15325;"I/MO LIEBHERR LG 1750";"N"
15326;"I/MO LIEBHERR LTM 1040";"N"
15327;"I/MO LIEBHERR LTM 1050";"N"
15328;"I/MO LIEBHERR LTM 1095";"N"
15329;"I/MO LIEBHERR LTM 1120 1";"N"
15330;"I/MO LIEBHERR LTM 1400";"N"
15331;"I/MO LIEBHERR LTM1095 51";"N"
15332;"I/MO LIEBHERR LTM1100 52";"N"
15333;"I/MO LIEBHERR LTM1130 51";"N"
